Date,CA,CAName,DailyPositive,CumulativePositive,CrudeRatePositive,DailyDeaths,CumulativeDeaths,CrudeRateDeaths,CumulativeNegative,CrudeRateNegative,TotalTests,PositiveTests,PositivePercentage,TotalPillar1,TotalPillar2
20200228,S12000005,Clackmannanshire,0,0,0,0,0,0,13,25.2231276678308,8,0,0,8,0
20200228,S12000006,Dumfries & Galloway,0,0,0,0,0,0,21,14.1072148327287,9,0,0,9,0
20200228,S12000008,East Ayrshire,0,0,0,0,0,0,8,6.5568396033112,1,0,0,1,0
20200228,S12000010,East Lothian,0,0,0,0,0,0,12,11.2055280605099,7,0,0,7,0
20200228,S12000011,East Renfrewshire,0,0,0,0,0,0,7,7.32754108656966,3,0,0,3,0
20200228,S12000013,Na h-Eileanan Siar,0,0,0,0,0,0,1,3.74251497005988,2,0,0,2,0
20200228,S12000014,Falkirk,0,0,0,0,0,0,24,14.9170240537013,15,0,0,15,0
20200228,S12000017,Highland,0,0,0,0,0,0,31,13.1450621210194,6,0,0,6,0
20200228,S12000018,Inverclyde,0,0,0,0,0,0,8,10.2827763496144,0,0,0,0,0
20200228,S12000019,Midlothian,0,0,0,0,0,0,15,16.2232316677482,1,0,0,1,0
20200228,S12000020,Moray,0,0,0,0,0,0,10,10.436234606554,2,0,0,2,0
20200228,S12000021,North Ayrshire,0,0,0,0,0,0,14,10.3903814754342,6,0,0,6,0
20200228,S12000023,Orkney Islands,0,0,0,0,0,0,4,17.961383026493,0,0,0,0,0
20200228,S12000026,Scottish Borders,0,0,0,0,0,0,26,22.5088736905896,2,0,0,2,0
20200228,S12000027,Shetland Islands,0,0,0,0,0,0,0,0,0,0,0,0,0
20200228,S12000028,South Ayrshire,0,0,0,0,0,0,3,2.6640618062339,2,0,0,2,0
20200228,S12000029,South Lanarkshire,0,0,0,0,0,0,24,7.48759866471157,2,0,0,2,0
20200228,S12000030,Stirling,0,0,0,0,0,0,20,21.2291688780384,6,0,0,6,0
20200228,S12000033,Aberdeen City,0,0,0,0,0,0,37,16.1805221498229,0,0,0,0,0
20200228,S12000034,Aberdeenshire,0,0,0,0,0,0,35,13.3991807358064,6,0,0,6,0
20200228,S12000035,Argyll & Bute,0,0,0,0,0,0,3,3.49365319669268,0,0,0,0,0
20200228,S12000036,City of Edinburgh,0,0,0,0,0,0,125,23.8126988360353,37,0,0,37,0
20200228,S12000038,Renfrewshire,0,0,0,0,0,0,15,8.37520938023451,4,0,0,4,0
20200228,S12000039,West Dunbartonshire,0,0,0,0,0,0,7,7.87135949623299,0,0,0,0,0
20200228,S12000040,West Lothian,0,0,0,0,0,0,28,15.2921900600765,4,0,0,4,0
20200228,S12000041,Angus,1,1,0.860585197934596,0,0,0,26,22.3752151462995,2,2,100,2,0
20200228,S12000042,Dundee City,0,0,0,0,0,0,20,13.39405304045,3,0,0,3,0
20200228,S12000045,East Dunbartonshire,0,0,0,0,0,0,10,9.20471281296023,2,0,0,2,0
